Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Apartments,2,2,Unfurnished,1400,Ready to Move,2,1400,-,1,"₹ 51,00,000","Murli Nagar, Lucknow, Uttar Pradesh",2 Bds - 2 Ba - 1400 ft2
Houses & Villas,3,2,Semi-Furnished,450,Ready to Move,-,850,West,-,"₹ 48,00,000","Indira Nagar, Lucknow, Uttar Pradesh",3 Bds - 2 Ba - 850 ft2
Houses & Villas,-,-,-,1000,-,-,1000,-,-,"₹ 13,48,000","Olpherts Lines, Lucknow, Uttar Pradesh",-
Houses & Villas,3,3,Semi-Furnished,900,Ready to Move,2,1549,East,1,"₹ 48,00,000","Maha Nagar Colony, Lucknow, Uttar Pradesh",3 Bds - 3 Ba - 1549 ft2
Farm Houses,-,-,-,5000,-,-,5000,-,-,"₹ 1,99,000","Olpherts Lines, Lucknow, Uttar Pradesh",-
Houses & Villas,3,3,Furnished,1650,Ready to Move,2,1650,East,1,"₹ 91,00,000","Indira Nagar, Lucknow, Uttar Pradesh",3 Bds - 3 Ba - 1650 ft2
Houses & Villas,2,2,Furnished,1350,New Launch,2,1500,North,1,"₹ 15,000","Indira Nagar, Lucknow, Uttar Pradesh",2 Bds - 2 Ba - 1500 ft2
Apartments,1,1,Semi-Furnished,500,Ready to Move,4,500,North-East,1,"₹ 19,00,000","Husainganj, Lucknow, Uttar Pradesh",1 Bds - 1 Ba - 500 ft2
Apartments,2,2,Unfurnished,900,New Launch,-,900,-,0,"₹ 12,000","Kaisarbagh, Lucknow, Uttar Pradesh",2 Bds - 2 Ba - 900 ft2
Houses & Villas,2,2,Semi-Furnished,960,Ready to Move,2,1250,North-West,1,"₹ 58,00,000","Manas Vihar, Lucknow, Uttar Pradesh",2 Bds - 2 Ba - 1250 ft2
Houses & Villas,2,2,Furnished,550,Ready to Move,2,1000,East,1,"₹ 22,00,000","Aliganj, Lucknow, Uttar Pradesh",2 Bds - 2 Ba - 1000 ft2
Houses & Villas,-,-,-,0,-,-,0,-,-,"₹ 13,00,000","Olpherts Lines, Lucknow, Uttar Pradesh",-
