Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Houses & Villas,4,4,Semi-Furnished,800,Ready to Move,3,2340,East,1,"₹ 41,00,000","Bhokara, Nagpur, Maharashtra",4 Bds - 4 Ba - 2340 ft2
Apartments,2,1,Furnished,633,Ready to Move,-,750,East,-,"₹ 11,52,987","Godhani, Nagpur, Maharashtra",2 Bds - 1 Ba - 750 ft2
Apartments,2,2,Unfurnished,550,Ready to Move,4,850,South-West,0,"₹ 39,00,000","Trimurti Nagar, Nagpur, Maharashtra",2 Bds - 2 Ba - 850 ft2
Apartments,2,2,Semi-Furnished,750,Ready to Move,7,750,North-West,1,"₹ 26,00,000","East Vardhman Nagar, Nagpur, Maharashtra",2 Bds - 2 Ba - 750 ft2
Apartments,4+,2,Unfurnished,0,New Launch,1,1000,South,0,"₹ 45,00,000","Mahavishnu Nagar, Nagpur, Maharashtra",4+ Bds - 2 Ba - 1000 ft2
Apartments,3,3,Unfurnished,1800,Ready to Move,15,2100,East,2,"₹ 2,10,00,000","Dhantoli, Nagpur, Maharashtra",3 Bds - 3 Ba - 2100 ft2
Apartments,2,2,Semi-Furnished,900,Ready to Move,3,1000,North-West,1,"₹ 27,00,000","Anant Nagar, Nagpur, Maharashtra",2 Bds - 2 Ba - 1000 ft2
Houses & Villas,4,3,Furnished,1425,Ready to Move,1,1623,East,1,"₹ 78,00,000","Katol Road, Nagpur, Maharashtra",4 Bds - 3 Ba - 1623 ft2
Apartments,2,2,Semi-Furnished,850,Under Construction,4,1200,West,1,"₹ 40,00,000","Amravati Road, Nagpur, Maharashtra",2 Bds - 2 Ba - 1200 ft2
Houses & Villas,3,3,Unfurnished,425,Ready to Move,3,425,-,-,"₹ 65,00,000","Mahal, Nagpur, Maharashtra",3 Bds - 3 Ba - 425 ft2
Builder Floors,2,1,Unfurnished,00,Ready to Move,4,700,North,1,"₹ 18,00,900","Nagpur City H O, Nagpur, Maharashtra",2 Bds - 1 Ba - 700 ft2
Apartments,2,2,Unfurnished,1100,New Launch,7,1200,South-East,3+,"₹ 40,00,000","Dabha, Nagpur, Maharashtra",2 Bds - 2 Ba - 1200 ft2
Apartments,2,2,Semi-Furnished,900,Ready to Move,4,1050,-,2,"₹ 30,00,000","Koradi Road, Nagpur, Maharashtra",2 Bds - 2 Ba - 1050 ft2
Apartments,2,2,Furnished,750,Ready to Move,6,800,South,1,"₹ 35,00,000","Pratap Nagar, Nagpur, Maharashtra",2 Bds - 2 Ba - 800 ft2
Apartments,2,2,Unfurnished,600,Ready to Move,7,850,North,1,"₹ 16,00,000","Roy Udyog Complex, Nagpur, Maharashtra",2 Bds - 2 Ba - 850 ft2
Apartments,2,1,Semi-Furnished,675,Ready to Move,2,746,East,1,"₹ 40,00,000","Bajaj Nagar, Nagpur, Maharashtra",2 Bds - 1 Ba - 746 ft2
Apartments,1,1,Semi-Furnished,500,Ready to Move,3,525,East,1,"₹ 25,00,000","Zingabai Takli, Nagpur, Maharashtra",1 Bds - 1 Ba - 525 ft2
Houses & Villas,3,3,Semi-Furnished,1600,Ready to Move,2,1800,North,1,"₹ 75,00,000","Gorewada Road, Nagpur, Maharashtra",3 Bds - 3 Ba - 1800 ft2
