Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Apartments,3,2,Furnished,1002,Ready to Move,-,1136,East,-,"₹ 4,31,45,685","Borla, Mumbai, Maharashtra",3 Bds - 2 Ba - 1136 ft2
Apartments,1,2,Unfurnished,322,Ready to Move,10,510,West,0,"₹ 82,00,000","Kurla West, Mumbai, Maharashtra",1 Bds - 2 Ba - 510 ft2
Apartments,2,2,-,800,Ready to Move,15,1150,South-West,1,"₹ 2,75,00,000","Versova, Mumbai, Maharashtra",2 Bds - 2 Ba - 1150 ft2
Apartments,2,2,Semi-Furnished,589,Under Construction,26,842,South-East,3+,"₹ 1,58,75,988","Vikhroli East, Mumbai, Maharashtra",2 Bds - 2 Ba - 842 ft2
Apartments,2,2,Furnished,740,Ready to Move,4,740,East,-,"₹ 2,95,00,000","Bandra West, Mumbai, Maharashtra",2 Bds - 2 Ba - 740 ft2
Apartments,2,2,Furnished,685,Under Construction,25,700,East,1,"₹ 3,00,00,000","Andheri East, Mumbai, Maharashtra",2 Bds - 2 Ba - 700 ft2
Apartments,1,1,Unfurnished,231,Under Construction,19,246,North-East,0,"₹ 55,00,000","Chembur, Mumbai, Maharashtra",1 Bds - 1 Ba - 246 ft2
Builder Floors,1,1,Semi-Furnished,305,Under Construction,16,575,East,0,"₹ 26,00,000","Kurla West, Mumbai, Maharashtra",1 Bds - 1 Ba - 575 ft2
Apartments,1,2,Unfurnished,225,Ready to Move,24,350,East,0,"₹ 44,00,000","Dadar East, Mumbai, Maharashtra",1 Bds - 2 Ba - 350 ft2
Apartments,1,1,Unfurnished,605,Ready to Move,7,550,East,3+,"₹ 21,55,000","Byculla, Mumbai, Maharashtra",1 Bds - 1 Ba - 550 ft2
Apartments,1,2,Unfurnished,435,New Launch,25,435,North-East,1,"₹ 57,00,000","Kurla East, Mumbai, Maharashtra",1 Bds - 2 Ba - 435 ft2
Apartments,1,2,Unfurnished,450,New Launch,20,725,West,1,"₹ 86,50,000","Kurla East, Mumbai, Maharashtra",1 Bds - 2 Ba - 725 ft2
Apartments,1,1,Semi-Furnished,405,Ready to Move,7,450,East,-,"₹ 85,00,000","Vinobha Bhave Nagar, Mumbai, Maharashtra",1 Bds - 1 Ba - 450 ft2
Apartments,1,2,Unfurnished,410,New Launch,18,610,West,1,"₹ 77,00,000","Kurla East, Mumbai, Maharashtra",1 Bds - 2 Ba - 610 ft2
Builder Floors,1,1,Unfurnished,370,Under Construction,-,600,-,-,"₹ 30,00,000","Sion East, Mumbai, Maharashtra",1 Bds - 1 Ba - 600 ft2
Apartments,2,2,Unfurnished,630,New Launch,14,1050,West,1,"₹ 1,85,00,000","Kurla West,  Mumbai, Maharashtra",2 Bds - 2 Ba - 1050 ft2
Builder Floors,2,2,Unfurnished,584,Under Construction,16,900,East,-,"₹ 1,29,00,000","Anushakti Nagar, Mumbai, Maharashtra",2 Bds - 2 Ba - 900 ft2
Apartments,1,2,Unfurnished,504,Ready to Move,21,685,North,0,"₹ 1,35,00,000","Marol,  Mumbai, Maharashtra",1 Bds - 2 Ba - 685 ft2
Houses & Villas,1,1,-,1,-,-,1,-,-,"₹ 28,00,000","Kurla West, Mumbai, Maharashtra",1 Bds - 1 Ba - 1 ft2
