Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Apartments,2,2,Semi-Furnished,1000,Ready to Move,12,1130,East,1,"₹ 85,00,000","Anand Nagar, Pune, Maharashtra",2 Bds - 2 Ba - 1130 ft2
Apartments,2,2,Unfurnished,712,Under Construction,30,968,East,1,"₹ 80,00,000","Baner Road, Pune, Maharashtra",2 Bds - 2 Ba - 968 ft2
Apartments,3,3,Unfurnished,1050,Under Construction,22,1365,East,2,"₹ 1,25,00,000","Koregaon Park Extension, Pune, Maharashtra",3 Bds - 3 Ba - 1365 ft2
Apartments,2,2,Unfurnished,660,Under Construction,7,858,East,1,"₹ 57,00,000","Dhanori, Pune, Maharashtra",2 Bds - 2 Ba - 858 ft2
Apartments,2,2,Unfurnished,727,Under Construction,11,1000,East,1,"₹ 55,00,000","Kondhwa, Pune, Maharashtra",2 Bds - 2 Ba - 1000 ft2
Apartments,2,2,Unfurnished,680,Ready to Move,6,1050,East,0,"₹ 55,00,000","Ghorpadi Nigade Nagar, Pune, Maharashtra",2 Bds - 2 Ba - 1050 ft2
Apartments,2,2,Unfurnished,900,Ready to Move,2,1172,East,1,"₹ 70,00,000","Hadapsar, Pune, Maharashtra",2 Bds - 2 Ba - 1172 ft2
Apartments,1,1,Unfurnished,600,Ready to Move,6,750,East,0,"₹ 24,00,000","Narhe, Pune, Maharashtra",1 Bds - 1 Ba - 750 ft2
Apartments,2,2,Unfurnished,840,Under Construction,30,1092,East,1,"₹ 1,20,00,000","Hadapsar, Pune, Maharashtra",2 Bds - 2 Ba - 1092 ft2
Apartments,1,1,Unfurnished,700,Ready to Move,5,827,North,0,"₹ 65,00,000","Shukrawar Peth, Pune, Maharashtra",1 Bds - 1 Ba - 827 ft2
Apartments,1,1,Semi-Furnished,480,Ready to Move,3,500,East,0,"₹ 42,00,000","Gokhale Nagar, Pune, Maharashtra",1 Bds - 1 Ba - 500 ft2
Apartments,1,1,Unfurnished,385,Ready to Move,-,385,East,0,"₹ 23,40,000","Vadgaon Budruk, Pune, Maharashtra",1 Bds - 1 Ba - 385 ft2
Apartments,3,2,Semi-Furnished,700,Ready to Move,21,945,East,1,"₹ 1,00,00,000","Magarpatta City, Pune, Maharashtra",3 Bds - 2 Ba - 945 ft2
Apartments,2,2,Semi-Furnished,750,Ready to Move,19,950,West,1,"₹ 1,15,00,000","Kalyani Nagar, Pune, Maharashtra",2 Bds - 2 Ba - 950 ft2
Apartments,1,1,Unfurnished,440,Ready to Move,6,580,East,0,"₹ 28,00,000","Dhayri, Pune, Maharashtra",1 Bds - 1 Ba - 580 ft2
Apartments,3,3,Unfurnished,1615,Under Construction,27,2099,East,1,"₹ 2,80,00,000","Kharadi, Pune, Maharashtra",3 Bds - 3 Ba - 2099 ft2
Apartments,1,1,Semi-Furnished,423,Ready to Move,5,423,East,0,"₹ 35,00,000","Kasba peth, Pune, Maharashtra",1 Bds - 1 Ba - 423 ft2
Apartments,4+,4+,Furnished,4200,Ready to Move,-,4200,-,3,"₹ 4,70,00,000","Koregaon park, Pune, Maharashtra",4+ Bds - 4+ Ba - 4200 ft2
Apartments,4,4,Unfurnished,1819,Under Construction,27,2364,East,1,"₹ 3,35,00,000","Kharadi, Pune, Maharashtra",4 Bds - 4 Ba - 2364 ft2
Houses & Villas,1,1,Unfurnished,210,Ready to Move,0,12,South-East,0,"₹ 6,50,000","Yerwada, Pune, Maharashtra",1 Bds - 1 Ba - 12 ft2
Apartments,2,2,Unfurnished,730,New Launch,14,1000,East,1,"₹ 49,00,000","NIBM Mohammadwadi Road, Pune, Maharashtra",2 Bds - 2 Ba - 1000 ft2
Apartments,2,2,Unfurnished,800,Ready to Move,7,855,East,0,"₹ 27,10,000","Kondhwa Khurd, Pune, Maharashtra",2 Bds - 2 Ba - 855 ft2
Apartments,2,2,Unfurnished,799,New Launch,13,1118,East,1,"₹ 67,00,000","Magarpatta City, Pune, Maharashtra",2 Bds - 2 Ba - 1118 ft2
Apartments,4,3,Unfurnished,1425,Under Construction,22,1852,East,1,"₹ 2,16,00,000","Wadgaon Sheri, Pune, Maharashtra",4 Bds - 3 Ba - 1852 ft2
