Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Apartments,3,3,Semi-Furnished,1050,Ready to Move,18,1620,North-East,1,"₹ 1,95,00,000","Kharghar, Navi Mumbai, Maharashtra",3 Bds - 3 Ba - 1620 ft2
Apartments,1,1,Unfurnished,400,Ready to Move,4,640,North,0,"₹ 39,00,000","Wahal Village, Navi  Mumbai, Maharashtra",1 Bds - 1 Ba - 640 ft2
Apartments,2,2,Semi-Furnished,700,Ready to Move,15,1050,-,1,"₹ 72,00,000","Panvel, Navi Mumbai, Maharashtra",2 Bds - 2 Ba - 1050 ft2
Apartments,2,2,Unfurnished,620,Ready to Move,13,1050,North-West,1,"₹ 80,00,000","Ulwe, Navi Mumbai, Maharashtra",2 Bds - 2 Ba - 1050 ft2
Apartments,1,1,Unfurnished,365,Ready to Move,3,555,West,1,"₹ 46,50,000","Kharghar, Navi Mumbai, Maharashtra",1 Bds - 1 Ba - 555 ft2
Apartments,2,2,Furnished,930,Ready to Move,12,1305,North-East,1,"₹ 1,20,00,000","Ulwe, Navi  Mumbai, Maharashtra",2 Bds - 2 Ba - 1305 ft2
Apartments,2,2,Unfurnished,620,Under Construction,12,900,East,1,"₹ 90,00,000","Ulwe, Navi Mumbai, Maharashtra",2 Bds - 2 Ba - 900 ft2
Apartments,2,2,Unfurnished,650,Under Construction,45,1250,East,1,"₹ 1,72,00,000","Kharghar, Navi Mumbai, Maharashtra",2 Bds - 2 Ba - 1250 ft2
Apartments,2,2,Unfurnished,585,Under Construction,13,980,West,1,"₹ 59,00,000","Kharghar, Navi Mumbai, Maharashtra",2 Bds - 2 Ba - 980 ft2
Apartments,2,2,Unfurnished,760,Ready to Move,19,950,West,1,"₹ 1,10,00,000","Kharghar, Navi Mumbai, Maharashtra",2 Bds - 2 Ba - 950 ft2
Apartments,2,2,Furnished,631,Ready to Move,12,970,East,1,"₹ 87,00,000","Ulwe, Navi Mumbai, Maharashtra",2 Bds - 2 Ba - 970 ft2
Apartments,1,1,Unfurnished,415,Ready to Move,7,680,North-East,0,"₹ 45,00,000","Ulwe, Navi  Mumbai, Maharashtra",1 Bds - 1 Ba - 680 ft2
Builder Floors,2,1,Unfurnished,480,Ready to Move,14,600,North-East,1,"₹ 49,00,000","Kharghar, Navi Mumbai, Maharashtra",2 Bds - 1 Ba - 600 ft2
Builder Floors,2,2,Unfurnished,700,Ready to Move,10,1200,East,1,"₹ 1,38,00,000","Ulwe, Navi Mumbai, Maharashtra",2 Bds - 2 Ba - 1200 ft2
Apartments,2,3,Unfurnished,1200,Under Construction,12,1600,East,1,"₹ 70,00,000","Dapoli, Navi Mumbai, Maharashtra",2 Bds - 3 Ba - 1600 ft2
Apartments,1,1,Unfurnished,390,Under Construction,19,625,East,0,"₹ 36,00,000","Palaspe Phata, Navi Mumbai, Maharashtra",1 Bds - 1 Ba - 625 ft2
Apartments,1,2,Unfurnished,414,Under Construction,13,700,North-East,0,"₹ 51,50,000","Ulwe, Navi Mumbai, Maharashtra",1 Bds - 2 Ba - 700 ft2
Apartments,1,1,Unfurnished,398,Under Construction,6,648,-,-,"₹ 31,20,000","Ulwe, Navi Mumbai, Maharashtra",1 Bds - 1 Ba - 648 ft2
Apartments,2,2,Unfurnished,748,Ready to Move,27,1200,South,-,"₹ 1,45,00,000","Panvel, Navi Mumbai, Maharashtra",2 Bds - 2 Ba - 1200 ft2
Apartments,1,1,Unfurnished,354,Under Construction,33,550,West,1,"₹ 50,00,000","Old Panvel, Navi Mumbai, Maharashtra",1 Bds - 1 Ba - 550 ft2
