Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Houses & Villas,4+,4+,Semi-Furnished,1650,Ready to Move,3,3800,East,2,"₹ 1,80,00,000","Mali Pada, Bhubaneshwar, Odisha",4+ Bds - 4+ Ba - 3800 ft2
Apartments,2,2,Unfurnished,800,Ready to Move,5,1100,East,1,"₹ 56,00,000","Patia, Bhubaneshwar, Odisha",2 Bds - 2 Ba - 1100 ft2
Houses & Villas,2,1,Furnished,633,Ready to Move,1,633,East,0,"₹ 31,00,000","Malay Vihar, Bhubaneshwar, Odisha",2 Bds - 1 Ba - 633 ft2
Houses & Villas,4+,4+,Unfurnished,5600,Ready to Move,4,6600,West,3+,"₹ 3,00,00,000","Tulsipur, Cuttack, Odisha",4+ Bds - 4+ Ba - 6600 ft2
Houses & Villas,3,3,Furnished,800,Ready to Move,2,1800,North-East,1,"₹ 70,00,000","Hansapal, Bhubaneshwar, Odisha",3 Bds - 3 Ba - 1800 ft2
Apartments,3,3,Unfurnished,1000,Under Construction,4,1450,East,1,"₹ 85,00,000","Bahadalpur, Bhubaneshwar, Odisha",3 Bds - 3 Ba - 1450 ft2
Houses & Villas,4+,4+,Semi-Furnished,16000,Ready to Move,4,16000,East,3+,"₹ 30,00,00,000","Saheed Nagar, Bhubaneshwar, Odisha",4+ Bds - 4+ Ba - 16000 ft2
Houses & Villas,3,3,Furnished,2200,Ready to Move,2,3600,North,1,"₹ 2,00,00,000","Dharma Vihar, Bhubaneshwar, Odisha",3 Bds - 3 Ba - 3600 ft2
Houses & Villas,3,3,Furnished,1200,New Launch,2,1850,North-East,1,"₹ 60,00,000","Hansapal, Bhubaneshwar, Odisha",3 Bds - 3 Ba - 1850 ft2
Houses & Villas,4+,4,Unfurnished,1800,Under Construction,2,2400,North,1,"₹ 95,00,000","Sundarpada, Bhubaneshwar, Odisha",4+ Bds - 4 Ba - 2400 ft2
Apartments,3,2,Furnished,1100,Ready to Move,4,1360,East,1,"₹ 70,00,000","Hansapal, Bhubaneshwar, Odisha",3 Bds - 2 Ba - 1360 ft2
Apartments,2,2,Unfurnished,900,Under Construction,4,1156,West,1,"₹ 76,50,000","Patia, Bhubaneshwar, Odisha",2 Bds - 2 Ba - 1156 ft2
Apartments,3,3,Semi-Furnished,1100,Under Construction,5,1600,North,1,"₹ 1,80,00,000","Saheed Nagar, Bhubaneshwar, Odisha",3 Bds - 3 Ba - 1600 ft2
Apartments,3,2,Semi-Furnished,1050,Ready to Move,4,1550,East,1,"₹ 91,45,000","Patia, Bhubaneshwar, Odisha",3 Bds - 2 Ba - 1550 ft2
Houses & Villas,3,4,Semi-Furnished,1880,Under Construction,2,1882,North-East,1,"₹ 85,00,000","Pahala, Bhubaneshwar, Odisha",3 Bds - 4 Ba - 1882 ft2
Apartments,2,1,Furnished,1000,Ready to Move,4,1200,North-East,1,"₹ 45,00,000","Nuapada, Cuttack, Odisha",2 Bds - 1 Ba - 1200 ft2
Apartments,3,2,Semi-Furnished,1350,Ready to Move,4,1700,South,1,"₹ 1,70,00,000","IRC Village, Bhubaneshwar, Odisha",3 Bds - 2 Ba - 1700 ft2
Apartments,2,2,Unfurnished,690,Under Construction,3,1175,North,1,"₹ 56,87,000","Patrapada, Bhubaneshwar, Odisha",2 Bds - 2 Ba - 1175 ft2
Apartments,3,4,Semi-Furnished,1615,New Launch,17,2745,East,1,"₹ 2,25,00,000","Patia, Bhubaneshwar, Odisha",3 Bds - 4 Ba - 2745 ft2
Apartments,3,2,Unfurnished,772,Under Construction,10,1236,East,1,"₹ 69,27,200","Tomango, Bhubaneshwar, Odisha",3 Bds - 2 Ba - 1236 ft2
Houses & Villas,3,3,Unfurnished,1260,Under Construction,1,1400,East,1,"₹ 57,00,000","Palasuni, Bhubaneshwar, Odisha",3 Bds - 3 Ba - 1400 ft2
Houses & Villas,3,1,Unfurnished,1200,Ready to Move,1,1200,-,-,"₹ 57,00,000","Atharnala, Puri, Odisha",3 Bds - 1 Ba - 1200 ft2
Apartments,3,2,Semi-Furnished,1130,Under Construction,4,1530,East,1,"₹ 58,00,000","Gautam Nagar Kalpana Square, Bhubaneshwar, Odisha",3 Bds - 2 Ba - 1530 ft2
Houses & Villas,4+,4+,Semi-Furnished,1350,Ready to Move,3,3150,East,1,"₹ 1,25,00,000","Kalinga Nagar Ghatikia, Bhubaneshwar, Odisha",4+ Bds - 4+ Ba - 3150 ft2
Apartments,2,2,Semi-Furnished,650,Ready to Move,5,990,North,1,"₹ 63,00,000","Bishnu Vihar, Bhubaneshwar, Odisha",2 Bds - 2 Ba - 990 ft2
Apartments,3,4,Semi-Furnished,1400,Under Construction,5,2300,North-East,1,"₹ 2,15,00,000","BJB Nagar, Bhubaneshwar, Odisha",3 Bds - 4 Ba - 2300 ft2
Houses & Villas,4+,3,Unfurnished,600,Ready to Move,3,800,South-East,0,"₹ 80,00,000","VSS Nagar, Bhubaneshwar, Odisha",4+ Bds - 3 Ba - 800 ft2
Apartments,2,2,Semi-Furnished,838,New Launch,3,1304,South,1,"₹ 66,00,000","Sijua Patrapada, Bhubaneshwar, Odisha",2 Bds - 2 Ba - 1304 ft2
Apartments,3,3,Unfurnished,1240,Under Construction,4,1650,East,1,"₹ 1,10,00,000","Kalinga Nagar Ghatikia, Bhubaneshwar, Odisha",3 Bds - 3 Ba - 1650 ft2
Apartments,3,2,Semi-Furnished,798,Ready to Move,3,1334,North-East,1,"₹ 67,00,000","Sijua Patrapada, Bhubaneshwar, Odisha",3 Bds - 2 Ba - 1334 ft2
Apartments,3,3,Semi-Furnished,0,New Launch,2,0,-,1,"₹ 1,90,00,000","Patia, Bhubaneshwar, Odisha",3 Bds - 3 Ba - 0 ft2
Apartments,3,3,Unfurnished,1348,Under Construction,31,1820,North-East,1,"₹ 1,52,00,000","Hansapal, Bhubaneshwar, Odisha",3 Bds - 3 Ba - 1820 ft2
Apartments,3,2,Semi-Furnished,1350,Under Construction,4,1750,East,1,"₹ 93,00,000","Pandara, Bhubaneshwar, Odisha",3 Bds - 2 Ba - 1750 ft2
Apartments,3,2,Semi-Furnished,832,Under Construction,15,1659,North,3+,"₹ 50,00,000","BHB Colony, Bhubaneshwar, Odisha",3 Bds - 2 Ba - 1659 ft2
Houses & Villas,2,2,Semi-Furnished,1250,New Launch,1,1650,South,1,"₹ 1,20,00,000","Badambadi Colony, Cuttack, Odisha",2 Bds - 2 Ba - 1650 ft2
Houses & Villas,4,4+,Furnished,1630,Ready to Move,2,2800,South-West,1,"₹ 1,50,00,000","Patia, Bhubaneshwar, Odisha",4 Bds - 4+ Ba - 2800 ft2
Houses & Villas,3,2,Furnished,800,Under Construction,1,1200,North-East,1,"₹ 34,50,000","Rasulgarh, Bhubaneshwar, Odisha",3 Bds - 2 Ba - 1200 ft2
Apartments,4,4,Furnished,1891,Ready to Move,7,2702,North,2,"₹ 2,45,00,000","Nayapalli, Bhubaneshwar, Odisha",4 Bds - 4 Ba - 2702 ft2
Houses & Villas,2,1,Furnished,673,New Launch,22,673,East,1,"₹ 29,00,000","Sijua Patrapada, Bhubaneshwar, Odisha",2 Bds - 1 Ba - 673 ft2
Houses & Villas,2,2,Unfurnished,632,New Launch,-,832,East,1,"₹ 20,00,000","Sidha Mahavir Patna, Puri, Odisha",2 Bds - 2 Ba - 832 ft2
Apartments,3,3,Furnished,1250,New Launch,2,1750,East,3+,"₹ 1,00,00,000","Jagamara, Bhubaneshwar, Odisha",3 Bds - 3 Ba - 1750 ft2
Apartments,3,2,Furnished,1342,Ready to Move,4,1790,East,1,"₹ 1,10,00,000","Patrapada, Bhubaneshwar, Odisha",3 Bds - 2 Ba - 1790 ft2
Houses & Villas,4+,4+,Unfurnished,33,New Launch,2,33,East,1,"₹ 75,00,000","Jagatpur, Cuttack, Odisha",4+ Bds - 4+ Ba - 33 ft2
Houses & Villas,4+,4+,Furnished,3500,New Launch,2,4000,East,3,"₹ 1,15,00,000","Badapanda Sahi, Dhenkanal, Odisha",4+ Bds - 4+ Ba - 4000 ft2
Houses & Villas,2,1,Unfurnished,1000,Under Construction,1,700,-,0,"₹ 28,50,000","Pahala, Bhubaneshwar, Odisha",2 Bds - 1 Ba - 700 ft2
Apartments,3,3,Semi-Furnished,1400,Ready to Move,5,1600,North,1,"₹ 80,00,000","Patrapada, Bhubaneshwar, Odisha",3 Bds - 3 Ba - 1600 ft2
Houses & Villas,2,2,Semi-Furnished,900,Under Construction,1,1200,East,1,"₹ 42,00,000","Sundarpada, Bhubaneshwar, Odisha",2 Bds - 2 Ba - 1200 ft2
Apartments,3,2,Unfurnished,979,Ready to Move,4,1832,East,1,"₹ 1,09,92,000","Rasulgarh, Bhubaneshwar, Odisha",3 Bds - 2 Ba - 1832 ft2
Apartments,3,3,Semi-Furnished,1198,Under Construction,4,1693,North,2,"₹ 1,50,00,000","Mahanadi Vihar, Cuttack, Odisha",3 Bds - 3 Ba - 1693 ft2
Houses & Villas,4+,4+,Semi-Furnished,3500,Ready to Move,2,3700,East,1,"₹ 2,50,00,000","Rasulgarh Jagannath Nagar, Bhubaneshwar, Odisha",4+ Bds - 4+ Ba - 3700 ft2
Houses & Villas,3,3,Unfurnished,1200,Under Construction,3,1850,South-East,1,"₹ 40,00,000","Hansapal, Bhubaneshwar, Odisha",3 Bds - 3 Ba - 1850 ft2
Apartments,3,3,Furnished,798,Ready to Move,4,1334,North-East,1,"₹ 66,00,000","Sijua Patrapada, Bhubaneshwar, Odisha",3 Bds - 3 Ba - 1334 ft2
Apartments,2,2,Furnished,800,Ready to Move,4,1002,South-West,1,"₹ 45,00,000","Shyampur, Bhubaneshwar, Odisha",2 Bds - 2 Ba - 1002 ft2
Houses & Villas,2,2,Unfurnished,500,New Launch,3,900,West,0,"₹ 11,000","Khristian Sahi, Cuttack, Odisha",2 Bds - 2 Ba - 900 ft2
Apartments,3,3,Semi-Furnished,1100,Under Construction,4,1827,East,1,"₹ 1,08,00,000","Patrapada, Bhubaneshwar, Odisha",3 Bds - 3 Ba - 1827 ft2
Houses & Villas,4,4,Unfurnished,600,Ready to Move,2,600,East,-,"₹ 55,00,000","Bharatpur, Bhubaneshwar, Odisha",4 Bds - 4 Ba - 600 ft2
Apartments,2,2,Unfurnished,740,Ready to Move,5,920,South,0,"₹ 36,00,000","Lingipur, Bhubaneshwar, Odisha",2 Bds - 2 Ba - 920 ft2
Builder Floors,4+,3,Semi-Furnished,2250,Ready to Move,2,1250,North,2,"₹ 1,50,00,000","Bankual, Bhubaneshwar, Odisha",4+ Bds - 3 Ba - 1250 ft2
Apartments,4+,4+,Furnished,25,New Launch,3,40,North-East,2,"₹ 1,10,00,000","Kalinga Nagar Ghatikia, Bhubaneshwar, Odisha",4+ Bds - 4+ Ba - 40 ft2
-,-,-,-,-,-,-,-,-,-,-,-,-
Apartments,3,3,Unfurnished,1100,Under Construction,4,1476,East,1,"₹ 85,00,000","Kalinga Nagar Ghatikia, Bhubaneshwar, Odisha",3 Bds - 3 Ba - 1476 ft2
Houses & Villas,-,-,-,706,-,-,1200,East,-,"₹ 17,00,000","BJB Nagar, Bhubaneshwar, Odisha",-
Houses & Villas,4+,4+,Semi-Furnished,3000,Ready to Move,3,3200,East,2,"₹ 1,60,00,000","Hansapal, Bhubaneshwar, Odisha",4+ Bds - 4+ Ba - 3200 ft2
Houses & Villas,3,3,Semi-Furnished,1200,Ready to Move,-,1200,-,-,"₹ 1,00,00,000","Palashpalli, Bhubaneshwar, Odisha",3 Bds - 3 Ba - 1200 ft2
Houses & Villas,4+,4+,Semi-Furnished,2400,Ready to Move,4,9600,-,1,"₹ 2,60,00,000","Samantarapur, Bhubaneshwar, Odisha",4+ Bds - 4+ Ba - 9600 ft2
Houses & Villas,4+,4+,Furnished,2850,Ready to Move,3,1200,South-West,1,"₹ 1,40,00,000","Hansapal, Bhubaneshwar, Odisha",4+ Bds - 4+ Ba - 1200 ft2
Apartments,2,2,-,1000,Ready to Move,4,1000,East,1,"₹ 72,00,000","Ghatikia, Bhubaneshwar, Odisha",2 Bds - 2 Ba - 1000 ft2
Houses & Villas,4+,4+,Unfurnished,2200,Under Construction,3,2400,East,1,"₹ 99,50,000","Mahadeb Nagar Jharapada, Bhubaneshwar, Odisha",4+ Bds - 4+ Ba - 2400 ft2
Apartments,2,2,Furnished,665,Ready to Move,5,956,North-West,2,"₹ 63,00,000","Sijua Patrapada, Bhubaneshwar, Odisha",2 Bds - 2 Ba - 956 ft2
Apartments,2,2,Semi-Furnished,993,Ready to Move,6,1291,South,1,"₹ 66,00,000","Rasulgarh, Bhubaneshwar, Odisha",2 Bds - 2 Ba - 1291 ft2
Apartments,2,2,Semi-Furnished,1150,Ready to Move,6,1150,North,1,"₹ 70,00,000","Patia, Bhubaneshwar, Odisha",2 Bds - 2 Ba - 1150 ft2
Apartments,2,2,Furnished,665,Under Construction,5,956,North-East,2,"₹ 65,00,000","Sijua Patrapada, Bhubaneshwar, Odisha",2 Bds - 2 Ba - 956 ft2
